ip,asn,asn_registry,asn_description,country_rdap,org_name_rdap,rdap_error,arin_handle,arin_name,arin_type,arin_start_ip,arin_end_ip,arin_country,arin_parent,arin_abuse_email,geo_country,geo_region,geo_city,geo_location,org,hostname,reverse_dns,is_valid_ip
211.21.61.246,3462,apnic,"HINET Data Communication Business Group, TW",TW,IRT-HINET-1-TW; HINET Network-Adm,,211.21.0.0 - 211.21.255.255,HINET-NET,ASSIGNED PORTABLE,211.21.0.0,211.21.255.255,TW,,abuse@hinet.net,TW,Taiwan,Taipei,"25.0531,121.5264",AS3462 Data Communication Business Group,211-21-61-246.hinet-ip.hinet.net,211-21-61-246.hinet-ip.hinet.net,True
45.148.10.151,48090,ripencc,"DMZHOST, GB",AD,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,45.148.10.0 - 45.148.10.255,DMZHOST,ASSIGNED PA,45.148.10.0,45.148.10.255,AD,45.148.8.0 - 45.148.11.255,dmzhostabuse@gmail.com,NL,North Holland,Amsterdam,"52.3740,4.8897",AS48090 TECHOFF SRV LIMITED,,,True
85.217.140.53,209334,ripencc,"MODAT-01, NL",FR,Abuse-C Role; RIPE-NCC-HM-MNT; lir-nl-modat-1-MNT; Modat B.V.; security,,85.217.140.0 - 85.217.140.255,NL-MODAT-20050118,ALLOCATED PA,85.217.140.0,85.217.140.255,FR,0.0.0.0 - 255.255.255.255,abuse@modat.io,FR,Hauts-de-France,Calais,"50.9519,1.8563",AS209334 Modat B.V.,o352.scanner.modat.io,o352.scanner.modat.io,True
220.119.37.141,,,,,,HTTP lookup failed for https://xn--c79as89aj0e29b77z.xn--3e0b707e/eng/whois.jsc.,220.116.0.0 - 220.119.255.255,KORNET-KR,ALLOCATED PORTABLE,220.116.0.0,220.119.255.255,KR,,hostmaster@nic.or.kr,KR,Gyeongsangnam-do,Changwon,"35.2281,128.6811",AS4766 Korea Telecom,,,True
2.57.121.118,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",GB,ro-btel2-1-mnt; UNMANAGED LTD NOC - NETWORK OPERATIONS CENTER; UNMANAGED LTD; UNMANAGED; Abuse contact role object,,2.57.121.0 - 2.57.121.255,UNMANAGED-LTD,ASSIGNED PA,2.57.121.0,2.57.121.255,GB,2.57.120.0 - 2.57.123.255,abuse@unmanaged.uk,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,dns118.personaliseplus.com,dns118.personaliseplus.com,True
202.165.16.9,18206,apnic,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY,Lai Xiao Yuan; IRT-MY-WEBE; Mohd Sobri Salamon,,202.165.16.0 - 202.165.17.255,CloudAlphaEdge,ALLOCATED NON-PORTABLE,202.165.16.0,202.165.17.255,MY,,abuse@tm.com.my,MY,Negeri Sembilan,Port Dickson,"2.5246,101.7965",AS18206 TM TECHNOLOGY SERVICES SDN. BHD.,,,True
74.235.238.88,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,Microsoft Corporation; MCO ADSL CBB,,NET-74-235-192-0-1,BLS-74-235-192-0-1003020949,ASSIGNMENT,74.235.192.0,74.235.255.255,,NET-74-234-0-0-1,,US,Virginia,Washington,"38.7135,-78.1594",AS8075 Microsoft Corporation,,,True
35.240.75.51,396982,arin,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",,Google LLC; GC Abuse,,NET-35-208-0-0-1,GOOGLE-CLOUD,DIRECT ALLOCATION,35.208.0.0,35.247.255.255,,NET-35-0-0-0-0,,BE,Brussels Capital,Brussels,"50.8505,4.3488",AS396982 Google LLC,51.75.240.35.bc.googleusercontent.com,51.75.240.35.bc.googleusercontent.com,True
152.32.144.167,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",JP,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,152.32.144.0 - 152.32.147.255,UCLOUD-JP,ALLOCATED NON-PORTABLE,152.32.144.0,152.32.147.255,JP,,hegui@ucloud.cn,JP,Tokyo,Tokyo,"35.6895,139.6917",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
65.49.1.170,6939,arin,"HURRICANE - Hurricane Electric LLC, US",,"NOC; The Shadowserver Foundation, Inc.; Abuse",,NET-65-49-1-0-1,HURRICANE-CE2897-409C062A,ALLOCATION,65.49.1.0,65.49.1.255,,NET-65-49-0-0-1,,US,California,San Francisco,"37.7749,-122.4194",AS6939 Hurricane Electric LLC,scan-72-08.shadowserver.org,scan-72-08.shadowserver.org,True
